pcVO2max,Sat_measured,pco2,pH,PO2,DPGrbc
10.06711409,47.6053575,48.5106383,7.352863436,27.56234008,
16.77852349,41.81528213,50.21276596,7.340969163,25.82765948,
23.15436242,41.35680413,52.12765957,7.32907489,25.29554621,
32.55033557,35.83255709,53.82978723,7.32907489,23.21241164,
37.24832215,33.38308352,54.89361702,7.309251101,22.64885728,
48.32214765,30.6578316,61.4893617,7.288105727,23.02788499,
56.04026846,27.15118413,64.25531915,7.266960352,21.18738887,
65.60402685,28.39183391,68.93617021,7.226651982,22.65622967,
73.48993289,26.17255201,71.27659574,7.205506608,22.45478989,
83.38926174,22.08386259,71.27659574,7.177753304,20.78299146,
92.11409396,18.1388489,73.61702128,7.148678414,18.94444685,
99.83221477,18.30877579,81.70212766,7.089207048,19.75410902,
